"Date","Time","Lat","Lon","FoxLat","FoxLon","Measured Angle","Actual Angle","Error"
2016-07-14,00:00,52.416321,-4.061475,52.378640,-3.970030,123,115,8
2016-07-14,00:00,52.410299,-4.009733,52.378640,-3.970030,142,135,7
2016-07-14,00:00,52.386217,-3.950485,52.378640,-3.970030,237,180,57
2017-05-11,00:00,52.417419,-4.058581,52.370140,-3.926310,120,135,-14
2017-05-11,00:00,52.397657,-4.033072,52.370140,-3.926310,112,115,-2
2017-05-11,00:00,52.382405,-3.939348,52.370140,-3.926310,147,135,12
2017-05-11,00:00,52.365198,-3.892805,52.370140,-3.926310,283,310,-26
2018-05-10,19:00,52.416415,-4.053497,52.339880,-3.899660,129,130,0
2018-05-10,20:11,52.357642,-3.957664,52.339880,-3.899660,116,135,-18
2018-05-10,20:20,52.325910,-3.923534,52.339880,-3.899660,46,160,-113
2018-05-10,20:26,52.306268,-3.917832,52.339880,-3.899660,18,135,-116
2018-05-10,20:43,52.277413,-3.851413,52.339880,-3.899660,334,90,-115
2019-05-09,19:36,52.430179,-4.026812,52.465270,-4.050250,337,0,-22
2019-05-09,19:44,52.452851,-3.973577,52.465270,-4.050250,284,270,14
2019-05-09,20:02,52.455787,-4.043411,52.465270,-4.050250,336,0,-23
